OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,x,y
8247,0008236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,NOT AVAILABLE,(334) 738-2140,GENERAL ACUTE CARE,OPEN,61,BULLOCK,01011,USA,32.14663511,-85.7170093299999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,NOT AVAILABLE,H0601,NOT AVAILABLE,01,PROPRIETARY,-999,61,NOT AVAILABLE,N,-9541973.83093787,3782574.19231216
8248,0001636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,NOT AVAILABLE,(334) 727-0550,GENERAL ACUTE CARE,OPEN,143,MACON,01087,USA,32.44521832,-85.71214861,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,5/13/2015 12:00:00 AM,NOT AVAILABLE,H4401,NOT AVAILABLE,01,NOT AVAILABLE,-999,143,NOT AVAILABLE,Y,-9541432.73806259,3821895.38675395
8249,0000735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,1711,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,01073,USA,33.5040481500001,-86.8051591399999,622110,"CHILDREN'S HOSPITALS, GENERAL",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.childrensal.org,H3704,NOT AVAILABLE,01,NON-PROFIT,-999,332,LEVEL I,Y,-9663106.11369387,3962400.6373958
8250,0002836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,NOT AVAILABLE,(205) 459-9100,CRITICAL ACCESS,OPEN,25,CHOCTAW,01023,USA,32.0931053400001,-88.20949244,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,9/9/2013 12:00:00 AM,http://www.choctawgeneral.com/cgh/,H1201,NOT AVAILABLE,01,NON-PROFIT,-999,25,NOT AVAILABLE,Y,-9819435.78155391,3775538.36433599
8251,0003035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,NOT AVAILABLE,(205) 820-5930,GENERAL ACUTE CARE,OPEN,122,TALLADEGA,01121,USA,33.4402768200001,-86.0907834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.bhsala.com/home_citizens.cfm?id=38,H6101,NOT AVAILABLE,01,PROPRIETARY,-999,122,LEVEL III,Y,-9583582.17008201,3953890.22607794
8252,0003236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,NOT AVAILABLE,(256) 354-2131,GENERAL ACUTE CARE,OPEN,53,CLAY,01027,USA,33.2775639400001,-85.8239827799999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,9/9/2013 12:00:00 AM,http://www.claycountyhospital.com,H1401,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,53,NOT AVAILABLE,Y,-9553882.06092027,3932204.15285938
8253,0003336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,1225,(334) 283-6541,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.53390983,-85.91224661,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://chal.org/,H2602,NOT AVAILABLE,01,NON-PROFIT,-999,69,LEVEL III,Y,-9563707.54553134,3833600.44994807
8254,0003435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,NOT AVAILABLE,(256) 401-4534,GENERAL ACUTE CARE,OPEN,168,TALLADEGA,01121,USA,33.1645602300001,-86.25548758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.cvhealth.net,H6102,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,168,LEVEL III,N,-9601916.95553113,3917167.00720984
8255,0003536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 335-1154,GENERAL ACUTE CARE,OPEN,65,CRENSHAW,01041,USA,31.69354407,-86.2650457,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,NOT AVAILABLE,H2101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,65,NOT AVAILABLE,Y,-9602980.96058247,3723150.40761864
8256,0008435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 429-5000,GENERAL ACUTE CARE,OPEN,180,MADISON,01089,USA,34.6936114000001,-86.5721715399999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,10/2/2013 12:00:00 AM,NOT AVAILABLE,H4501,NOT AVAILABLE,01,PROPRIETARY,-999,180,LEVEL III,N,-9637170.05270072,4122321.71738996
8257,0091036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 286-3116,PSYCHIATRIC,OPEN,60,MONTGOMERY,01101,USA,32.32346327,-86.28134483,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/3/2015 12:00:00 AM,NOT AVAILABLE,H5111,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,60,NOT AVAILABLE,N,-9604795.37143444,3805845.50322232
8258,0003735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,NOT AVAILABLE,(256) 737-2598,GENERAL ACUTE CARE,OPEN,150,CULLMAN,01043,USA,34.2013272,-86.80572957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.crmchospital.com,H2201,NOT AVAILABLE,01,NON-PROFIT,-999,150,LEVEL III,Y,-9663169.61367101,4055867.4926191
8259,0003836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,NOT AVAILABLE,(251) 867-8061,GENERAL ACUTE CARE,OPEN,91,ESCAMBIA,01053,USA,31.1270339100001,-87.0734993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.dwmmh.org,H2703,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,91,LEVEL III,Y,-9692977.60366446,3649257.92728833
8260,0000836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,NOT AVAILABLE,(334) 774-2224,GENERAL ACUTE CARE,OPEN,89,DALE,01045,USA,31.4515766600001,-85.63208804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.dalemedical.org,H2301,NOT AVAILABLE,01,GOVERNMENT - LOCAL,-999,89,LEVEL III,Y,-9532520.43617757,3691534.88353972
8261,0000935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-7147,GENERAL ACUTE CARE,OPEN,583,TUSCALOOSA,01125,USA,33.2048205300001,-87.52741947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.dchsystem.com,H6301,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,583,LEVEL III,Y,-9743507.76584966,3922522.12673746
8262,0003935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,273,MORGAN,01103,USA,34.59034409,-86.9714815299999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.decaturgeneral.org/,H5202,NOT AVAILABLE,01,PROPRIETARY,-999,273,LEVEL III,Y,-9681621.03745619,4108348.9614445
8263,0001035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,120,MORGAN,01103,USA,34.57689679,-87.0158086599999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,10/2/2013 12:00:00 AM,http://www.decaturgeneral.org/,H5201,NOT AVAILABLE,01,PROPRIETARY,-999,120,NOT AVAILABLE,N,-9686555.51099612,4106530.73113209
8264,0001135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,PSYCHIATRIC,OPEN,64,MORGAN,01103,USA,34.58368232,-87.02541659,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,9/3/2013 12:00:00 AM,http://www.decaturgeneral.org/,H5206,NOT AVAILABLE,01,PROPRIETARY,-999,64,NOT AVAILABLE,N,-9687625.0608713,4107448.1764064
8265,0004135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,1608,(256) 845-3150,GENERAL ACUTE CARE,OPEN,134,DEKALB,01049,USA,34.44127984,-85.7562183699999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.dekalbregional.com,H2501,NOT AVAILABLE,01,PROPRIETARY,-999,134,LEVEL III,Y,-9546338.56130517,4088210.15952143
8266,0005036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,3666,(334) 756-9180,GENERAL ACUTE CARE,OPEN,115,CHAMBERS,01017,USA,32.8245981100001,-85.16870267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.lanierhospital.com,H0904,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,115,NOT AVAILABLE,Y,-9480936.61274811,3872045.37191089
8267,0001236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,NOT AVAILABLE,(334) 749-3411,GENERAL ACUTE CARE,OPEN,314,LEE,01081,USA,32.63852487,-85.4044747899999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.eamc.org,H4101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,314,LEVEL III,Y,-9507182.64508976,3847421.889597
8268,0004336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,66,BALDWIN,01003,USA,30.6352891500001,-87.8951390999999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.altapointe.org/eastpointe.php,H4913,NOT AVAILABLE,01,PROPRIETARY,-999,66,NOT AVAILABLE,N,-9784442.12781594,3585474.52662932
8269,0004536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",WETUMPKA,AL,36092,NOT AVAILABLE,(256) 825-7821,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.5522669700001,-86.18639645,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,9/6/2013 12:00:00 AM,http://www.elmorehospital.com/,H2601,NOT AVAILABLE,01,PROPRIETARY,-999,69,NOT AVAILABLE,Y,-9594225.7661212,3836024.57648242
8270,0005835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 868-2000,REHABILITATION,OPEN,100,JEFFERSON,01073,USA,33.46911585,-86.78833499,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,9/5/2013 12:00:00 AM,http://www.healthsouthlakeshorerehab.com,H3709,NOT AVAILABLE,01,PROPRIETARY,-999,100,NOT AVAILABLE,N,-9661233.25788284,3957738.07653257
8271,0002236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,NOT AVAILABLE,(334) 712-6333,REHABILITATION,OPEN,51,HOUSTON,01069,USA,31.2179119100001,-85.3658126299999,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.healthsouthdothan.com,H3504,NOT AVAILABLE,01,PROPRIETARY,-999,51,NOT AVAILABLE,Y,-9502878.79312559,3661081.60695492
8272,0005935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,NOT AVAILABLE,(256) 439-5000,REHABILITATION,OPEN,48,ETOWAH,01055,USA,34.00674122,-85.96848844,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,9/6/2013 12:00:00 AM,http://www.healthsouthgadsden.com/,H2804,NOT AVAILABLE,01,PROPRIETARY,-999,48,NOT AVAILABLE,Y,-9569968.35740822,4029707.24319938
8273,0002336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 284-7700,REHABILITATION,OPEN,75,MONTGOMERY,01101,USA,32.3191069800001,-86.2807098,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.healthsouthmontgomery.com,H5101,NOT AVAILABLE,01,PROPRIETARY,-999,75,NOT AVAILABLE,N,-9604724.6802182,3805271.65271359
8274,0090235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 535-2300,REHABILITATION,OPEN,70,MADISON,01089,USA,34.71920943,-86.57986887,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/3/2015 12:00:00 AM,NOT AVAILABLE,H4502,NOT AVAILABLE,01,PROPRIETARY,-999,70,NOT AVAILABLE,Y,-9638026.9155568,4125787.99624539
8275,0196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,NOT AVAILABLE,(205) 216-7600,REHABILITATION,OPEN,34,SHELBY,01117,USA,33.2832999,-86.7988099999999,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,4/1/2022 12:00:00 AM,NOT AVAILABLE,H5903,NOT AVAILABLE,01,PROPRIETARY,-999,34,NOT AVAILABLE,N,-9662399.3306621,3932967.94245761
8276,0004636401,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE, PO BOX 706",EVERGREEN,AL,36401,NOT AVAILABLE,(251) 578-0166,GENERAL ACUTE CARE,OPEN,58,CONECUH,01035,USA,31.43079857,-86.94048359,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.evergreenmedical.org,H1801,NOT AVAILABLE,01,PROPRIETARY,-999,58,NOT AVAILABLE,Y,-9678170.36255976,3688823.8294299
8277,0004835555,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, PO DRAWER 710",FAYETTE,AL,35555,NOT AVAILABLE,(205) 932-5966,GENERAL ACUTE CARE,OPEN,61,FAYETTE,01057,USA,33.70817814,-87.82468898,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.dchsystem.com/body.cfm?id=36928,H2901,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,61,NOT AVAILABLE,Y,-9776599.65633122,3989684.46584948
8278,0001636302,FLOWERS HOSPITAL,"4370 WEST MAIN STREET, PO BOX 6907",DOTHAN,AL,36305,NOT AVAILABLE,(334) 793-5000,GENERAL ACUTE CARE,OPEN,235,HOUSTON,01069,USA,31.2374299900001,-85.45704246,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.flowershospital.com,H3501,NOT AVAILABLE,01,PROPRIETARY,-999,235,LEVEL III,Y,-9513034.45134635,3663622.48781605
8279,0002735960,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,CENTRE,AL,35960,NOT AVAILABLE,(256) 927-5531,GENERAL ACUTE CARE,OPEN,60,CHEROKEE,01019,USA,34.1614583,-85.65108878,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.cherokeemedicalcenter.com,H1001,NOT AVAILABLE,01,PROPRIETARY,-999,60,NOT AVAILABLE,Y,-9534635.58887906,4050502.59000111
